,Images,Labels
0,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_236.jpg,NoShip
1,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_1627.jpg,NoShip
2,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_222.jpg,NoShip
3,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_975.jpg,NoShip
4,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_961.jpg,NoShip
5,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_791.jpg,NoShip
6,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_949.jpg,NoShip
7,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_746.jpg,NoShip
8,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_815.jpg,NoShip
9,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_99.jpg,NoShip
10,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_1586.jpg,NoShip
11,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_183.jpg,NoShip
12,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_197.jpg,NoShip
13,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_1592.jpg,NoShip
14,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_829.jpg,NoShip
15,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_168.jpg,NoShip
16,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_72.jpg,NoShip
17,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_626.jpg,NoShip
18,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_140.jpg,NoShip
19,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_154.jpg,NoShip
20,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_632.jpg,NoShip
21,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_66.jpg,NoShip
22,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_1009.jpg,NoShip
23,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_1747.jpg,NoShip
24,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_1753.jpg,NoShip
25,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_1035.jpg,NoShip
26,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_1034.jpg,NoShip
27,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_1746.jpg,NoShip
28,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_1008.jpg,NoShip
29,/Users/constantinosazas/CV_ML_Assignment/interview_datasets/Sentinel2_partial/NoShip/id_155.jpg,NoShip
